DATA_FILE, n, d, k, p:
../artificial/data/10000_2_05.txt 10000 2 2 20
ANTICLUSTERING_REP: 100

ANTICLUSTERING_THREADS: 1

PARTITION_THREADS: 1
BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 1
BRANCH_AND_BOUND_MAX_NODES: 1
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 2
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/aelle/mr-sos-sdp/SDPNAL
SDP_SOLVER_TOL: 0.0001
SDP_SOLVER_VERBOSE: 0
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 0.0001
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.1

Initial Heuristic MSS: 4901.20

---------------------------------------------------------------------
Iteration 1
---------------------------------------------------------------------

---------------------------------------------------------------------


Anticlustering Heuristic


Num of swaps 0

iter | k | W | GAP perc
5 | 2 | 4893.17394 | 0.16372
5 | 2 | 4893.17846 | 0.16362
5 | 2 | 4893.25373 | 0.16209
5 | 2 | 4893.28063 | 0.16154
5 | 2 | 4893.29469 | 0.16125
5 | 2 | 4893.31397 | 0.16086
5 | 2 | 4893.31402 | 0.16086
6 | 1 | 4893.34784 | 0.16017
6 | 1 | 4893.36287 | 0.15986
6 | 1 | 4893.36536 | 0.15981
6 | 1 | 4893.37177 | 0.15968
6 | 1 | 4893.37672 | 0.15958
6 | 1 | 4893.46707 | 0.15774
6 | 1 | 4893.48861 | 0.15730
6 | 1 | 4893.50880 | 0.15688
6 | 1 | 4893.53378 | 0.15637
6 | 1 | 4893.54620 | 0.15612
6 | 1 | 4893.54909 | 0.15606
6 | 1 | 4893.59357 | 0.15515
6 | 1 | 4893.59608 | 0.15510
6 | 1 | 4893.61324 | 0.15475
6 | 1 | 4893.63543 | 0.15430
6 | 1 | 4893.68983 | 0.15319
6 | 1 | 4893.69104 | 0.15317
6 | 1 | 4893.76342 | 0.15169
6 | 1 | 4893.77389 | 0.15148
6 | 1 | 4893.78745 | 0.15120
6 | 2 | 4893.79994 | 0.15094
6 | 2 | 4893.80028 | 0.15094
6 | 2 | 4893.80943 | 0.15075
6 | 2 | 4893.82307 | 0.15047
6 | 2 | 4893.83964 | 0.15013
6 | 2 | 4893.86732 | 0.14957
6 | 2 | 4893.86752 | 0.14956
6 | 2 | 4893.86917 | 0.14953
6 | 2 | 4893.88690 | 0.14917
6 | 2 | 4893.90896 | 0.14872
6 | 2 | 4893.92248 | 0.14844
6 | 2 | 4893.98796 | 0.14711
6 | 2 | 4894.01184 | 0.14662
6 | 2 | 4894.04893 | 0.14586
6 | 2 | 4894.07113 | 0.14541
6 | 2 | 4894.09759 | 0.14487
6 | 2 | 4894.17548 | 0.14328
6 | 2 | 4894.20175 | 0.14275
6 | 2 | 4894.27823 | 0.14118
6 | 2 | 4894.34838 | 0.13975
7 | 1 | 4894.34973 | 0.13973
7 | 1 | 4894.35495 | 0.13962
7 | 1 | 4894.38891 | 0.13893
7 | 1 | 4894.38909 | 0.13892
7 | 1 | 4894.41780
